GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06037533107,3574.0,27.6,98.5,0.3,0.5,26.0,51.4,31.2,341900.0,3.6,29.9,85.8,1.2,3.72,957 (USD),$33125,31.6,61.1,35.8,22.1,93.3,10.5,9.1,41.6
06037533703,4755.0,26.9,99.0,1.0,0.0,0.0,50.4,60.1,387000.0,3.8,16.0,76.7,0.0,4.28,975 (USD),$41019,29.6,75.6,14.2,19.6,90.1,1.8,10.8,42.1
06037534201,4721.0,26.5,94.6,4.3,0.7,9.0,48.8,46.5,273500.0,4.0,14.0,75.4,0.0,4.54,1104 (USD),$38607,27.1,81.8,33.6,20.3,94.3,3.6,7.7,35.6
06037310702,7161.0,41.0,18.0,68.0,2.5,685.0,47.8,3.4,415900.0,3.5,0.8,89.1,2.8,2.11,1478 (USD),$41121,30.3,85.9,18.1,32.2,88.4,36.0,43.8,45.9
06037311700,5876.0,47.1,18.8,67.7,2.2,273.0,44.6,58.7,696700.0,4.8,22.8,48.1,1.0,1.96,1581 (USD),$80046,24.8,87.4,7.9,22.4,88.1,35.4,77.2,16.8
06037401002,3822.0,44.5,22.5,59.9,1.5,415.0,45.7,54.1,585700.0,4.9,19.4,54.9,0.0,2.25,1392 (USD),$73813,32.0,74.3,13.3,31.7,87.5,48.3,71.6,22.8
06037402102,4801.0,34.7,60.3,14.0,10.8,477.0,48.9,79.9,369100.0,5.6,1.0,37.0,3.7,4.01,1430 (USD),$67268,28.3,72.0,19.0,32.0,87.5,13.6,50.0,26.7
06037403305,2274.0,38.6,12.9,10.9,1.5,1518.0,50.9,77.5,652000.0,5.9,0.0,31.8,0.0,3.61,2308 (USD),$87232,38.8,75.9,6.6,23.2,82.5,55.7,37.8,49.0
06037403321,6474.0,40.7,28.8,20.7,6.4,2460.0,48.4,81.9,598800.0,6.4,0.0,27.2,3.9,3.56,2128 (USD),$110456,42.6,74.9,9.8,31.3,89.6,45.8,54.7,33.4
06037408706,1809.0,46.7,14.6,11.6,0.3,1304.0,49.1,97.6,802200.0,7.4,1.8,10.2,0.0,1.78,1696 (USD),$129750,36.0,79.0,10.0,45.5,93.7,64.3,28.8,60.0
06037430301,4494.0,49.5,17.6,65.5,2.6,496.0,49.5,94.1,797100.0,6.8,18.4,10.5,0.0,2.87,2558 (USD),$122667,30.0,77.2,4.4,26.9,92.7,55.2,82.5,14.2
06037430302,5624.0,42.0,29.8,54.9,2.1,437.0,49.3,71.8,670000.0,5.7,37.5,38.6,11.3,2.4,1448 (USD),$81439,30.9,71.6,3.2,25.4,93.6,47.2,76.8,13.6
06037432000,8056.0,47.6,18.8,17.7,0.4,4916.0,49.4,76.5,768100.0,5.2,9.2,35.0,8.5,2.95,1313 (USD),$74327,29.3,82.0,8.7,34.8,96.5,39.5,30.1,49.0
06037432101,4183.0,42.3,21.2,17.8,0.0,2479.0,44.5,85.4,598700.0,5.1,7.2,23.4,0.0,2.7,1683 (USD),$81875,30.7,79.9,6.8,27.4,96.9,33.2,35.3,48.5
06037432102,5824.0,43.6,22.2,17.0,0.3,3370.0,47.1,91.2,646400.0,5.4,10.2,23.6,0.0,4.02,1673 (USD),$78600,31.1,83.1,7.2,27.6,93.3,35.5,36.4,45.4
06037432201,4632.0,43.1,14.2,4.8,0.5,3676.0,47.5,68.4,514100.0,4.4,10.4,47.1,3.0,2.81,1261 (USD),$57966,28.6,75.1,14.0,30.0,88.3,22.9,27.6,56.1
06037433401,3053.0,32.1,71.8,2.1,0.0,762.0,54.8,53.4,369700.0,4.3,8.9,58.9,17.0,4.16,1315 (USD),$46532,33.1,63.9,24.7,20.2,97.5,12.0,13.1,53.7
06037433403,4693.0,30.1,85.6,0.9,0.0,598.0,50.1,34.4,425900.0,3.7,9.1,82.7,3.9,3.73,1033 (USD),$34342,30.8,73.4,33.6,17.1,94.6,7.0,13.7,49.4
