GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06059042310,8814.0,43.0,34.8,58.7,0.0,233.0,48.4,40.6,510300.0,5.2,0.4,37.9,0.0,2.92,1905.0,60218.0,25.1,77.4,12.7,18.2,86.9,30.1,70.0,18.8
06059042311,5511.0,51.3,12.7,78.4,1.6,282.0,43.5,80.3,825200.0,6.4,1.8,13.2,12.5,3.09,2815.0,116705.0,20.8,77.4,6.4,28.1,90.4,56.3,85.5,14.1
06059042315,5613.0,47.4,20.4,69.1,0.2,365.0,47.1,50.7,576200.0,5.2,1.2,28.3,0.0,2.33,1906.0,81679.0,28.7,77.2,6.4,25.6,87.0,46.0,72.8,22.8
06059042327,4638.0,47.3,13.9,71.6,0.3,457.0,43.4,83.9,710600.0,6.9,0.0,12.4,7.5,3.56,2408.0,118194.0,27.4,76.6,4.5,41.2,93.0,52.7,80.0,14.0
06059042338,4817.0,48.1,8.8,78.1,3.6,270.0,46.3,64.3,855300.0,5.9,0.0,27.1,5.1,2.26,2212.0,106750.0,28.5,80.8,5.4,23.1,87.5,60.2,85.2,16.1
06059052427,5613.0,36.8,10.4,56.8,2.0,1475.0,47.7,67.2,611400.0,5.9,0.0,21.5,0.0,3.28,1853.0,124109.0,26.9,82.8,0.9,27.4,86.9,61.4,68.7,24.5
06059052521,5195.0,33.6,20.1,38.3,3.6,1757.0,49.5,3.6,439300.0,3.7,0.3,84.9,6.4,2.48,1865.0,71356.0,22.7,77.4,15.6,35.4,67.5,60.1,43.0,50.6
06059052523,4119.0,36.9,10.1,47.5,0.8,1574.0,52.8,48.5,736700.0,5.2,1.0,55.4,6.0,2.67,2350.0,113889.0,21.8,76.8,12.6,37.5,84.5,60.6,44.4,41.8
06059052525,17051.0,36.1,9.6,31.3,1.9,8504.0,48.8,49.5,774700.0,5.1,0.0,50.8,2.0,2.52,1985.0,86977.0,25.2,81.7,9.7,31.3,82.9,64.3,45.7,41.6
06059062604,16188.0,39.9,7.3,56.6,0.3,5142.0,48.7,62.8,1634400.0,5.5,4.6,39.6,0.0,2.2,2273.0,118529.0,28.0,83.0,3.3,18.9,81.7,80.5,67.9,26.2
06059062629,2695.0,46.1,3.5,61.3,0.1,835.0,49.9,85.2,1078900.0,7.1,0.0,20.6,7.7,3.88,3358.0,132188.0,28.6,78.2,3.9,28.3,88.2,74.9,62.4,31.8
06059087703,6059.0,33.6,40.9,22.3,1.9,1790.0,49.3,80.2,456000.0,5.8,0.0,35.5,4.7,3.57,1518.0,56102.0,30.6,77.7,16.9,36.6,93.1,16.9,35.9,41.9
06059087803,5501.0,26.5,65.3,7.9,0.8,1144.0,49.2,29.3,419400.0,4.2,1.5,83.2,4.3,4.24,1453.0,45438.0,28.3,69.0,33.3,18.5,92.7,9.1,18.8,49.6
06059088104,4967.0,33.1,42.8,24.6,0.8,1504.0,46.3,28.9,431300.0,4.6,0.0,56.1,0.0,3.01,1476.0,61683.0,29.5,84.6,16.6,34.8,85.3,20.4,32.8,46.7
06059088403,7641.0,32.1,51.2,18.2,2.1,2064.0,54.7,43.5,405300.0,4.8,0.7,48.5,2.2,4.03,1569.0,74550.0,26.8,73.5,15.1,38.9,91.5,23.5,33.7,42.1
06059088602,4363.0,37.8,35.6,19.7,1.1,1707.0,53.4,54.8,432000.0,4.9,11.2,49.4,1.1,3.31,1481.0,63355.0,29.0,77.0,12.4,38.1,87.6,21.2,40.8,36.1
06059088801,7622.0,39.0,23.6,15.4,3.8,4284.0,47.9,20.0,353100.0,4.1,1.5,68.0,4.8,3.02,1407.0,54922.0,26.1,84.4,18.8,39.4,86.4,25.1,28.3,52.1
06059088802,5374.0,36.7,33.1,14.4,0.0,2704.0,50.2,46.6,441300.0,4.7,1.9,50.1,2.2,3.76,1418.0,56546.0,26.6,79.2,24.2,26.6,91.8,16.1,25.7,49.1
06059089003,3822.0,32.9,56.1,4.7,0.0,1385.0,50.8,48.1,393200.0,4.8,1.7,52.0,1.7,4.77,1674.0,58427.0,26.7,69.8,19.7,27.6,89.0,12.5,16.2,52.7
06059089004,7422.0,32.7,54.4,6.2,0.2,2806.0,49.6,31.7,337300.0,4.4,2.4,45.5,0.0,4.47,1541.0,41853.0,25.3,78.4,22.2,33.2,91.2,11.7,12.9,54.7
06059089105,6543.0,26.7,89.1,1.7,0.0,570.0,51.1,48.2,413800.0,4.2,5.9,68.4,0.0,5.82,1498.0,54318.0,28.7,73.1,27.0,19.5,88.2,5.1,12.3,47.4
06059099222,5476.0,40.3,17.8,18.4,0.4,3375.0,51.5,52.0,530600.0,4.9,0.0,44.7,5.9,3.8,1756.0,60256.0,28.1,81.9,16.1,33.4,83.8,26.4,31.3,49.0
06059099229,6231.0,47.1,18.8,48.9,1.1,1583.0,51.6,39.9,624600.0,4.9,0.0,51.7,0.0,2.51,1766.0,68942.0,29.8,79.6,11.7,41.3,93.1,40.3,59.8,30.7
06059099246,3477.0,45.3,6.8,71.8,0.0,440.0,47.7,97.2,721800.0,6.8,2.2,16.8,0.0,3.42,3016.0,86289.0,27.0,85.2,2.4,27.4,96.4,36.6,90.7,12.0
06059099251,5949.0,33.2,28.7,38.1,0.0,1857.0,48.0,25.4,717800.0,3.9,0.6,75.2,2.8,2.52,1724.0,71509.0,27.0,88.3,14.9,30.0,70.5,40.6,50.4,31.1
06059099308,6139.0,49.5,11.4,67.9,0.4,1138.0,50.0,76.8,1212400.0,7.8,0.0,4.4,0.0,3.2,3501.0,146016.0,29.8,80.6,1.5,27.3,94.7,64.5,76.7,20.3
06059099411,5596.0,32.2,38.8,46.4,2.3,555.0,50.1,18.7,555100.0,4.2,1.0,78.5,4.1,2.82,1679.0,66719.0,32.0,74.6,16.4,31.5,76.2,31.2,64.6,21.5
