GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born,state,county,county_name
06025010101,4077.0,34.0,66.5,8.6,21.2,52.0,98.5,50.0,,5.2,0.0,41.5,0.0,1.82,,,,100.0,14.9,25.5,97.3,1.5,39.5,17.0,06,025,Imperial
06025012002,10864.0,31.8,95.7,2.4,0.1,199.0,47.8,84.8,219800.0,6.1,0.6,32.6,4.5,5.23,1229.0,62258.0,19.4,79.5,11.2,30.7,81.4,21.2,1.4,46.3,06,025,Imperial
06025010102,4564.0,27.3,83.7,9.8,4.5,2.0,54.2,62.2,90000.0,4.7,5.5,46.3,4.6,4.08,681.0,28750.0,17.9,78.0,41.1,11.8,78.0,4.1,31.6,28.8,06,025,Imperial
06025940000,1917.0,36.7,38.3,15.4,1.7,31.0,50.8,58.5,78500.0,4.1,2.4,48.1,2.9,3.37,586.0,27250.0,16.9,77.7,30.0,10.9,87.6,10.3,73.5,8.7,06,025,Imperial
06025010200,2704.0,27.7,84.4,10.6,3.1,0.0,49.4,62.1,110600.0,4.8,5.2,53.5,5.9,3.96,729.0,36488.0,23.1,83.9,32.7,10.5,89.2,8.0,20.0,28.1,06,025,Imperial
06025010400,7812.0,26.1,94.3,5.0,0.1,18.0,44.8,53.0,114800.0,4.6,1.7,54.1,0.0,4.0,778.0,28848.0,20.3,80.2,39.3,20.0,89.0,12.1,19.1,29.4,06,025,Imperial
06025010700,4574.0,31.2,92.2,4.1,3.7,0.0,45.4,57.7,129600.0,5.0,1.8,45.8,4.6,4.79,819.0,31641.0,22.7,79.4,28.4,25.1,87.6,13.5,28.1,25.5,06,025,Imperial
06025010900,7017.0,27.4,81.6,17.3,0.4,4.0,50.8,67.5,154600.0,5.0,3.7,42.2,4.8,3.68,634.0,46360.0,24.6,79.2,29.4,19.3,86.4,10.3,24.4,33.0,06,025,Imperial
06025011201,6761.0,30.8,80.6,14.6,1.3,137.0,47.1,86.3,200900.0,5.8,3.3,29.6,0.0,4.48,1242.0,87570.0,21.8,89.3,8.8,22.8,91.3,22.8,31.7,25.8,06,025,Imperial
06025011500,6076.0,34.5,92.8,5.1,1.0,33.0,46.5,38.2,116700.0,3.8,4.8,63.0,9.5,3.5,670.0,27250.0,15.7,73.5,41.3,17.2,77.1,7.8,11.3,40.8,06,025,Imperial
